agent,condition,scenario,episode,seed,shock,buyer_type,severity,t_s,disruption_type,supplier_port,entry_port,invalid_actions,gated_turns,up_deal,first_bid_ratio,rho_up,rho_up_static,rho_up_agent,dn_deal,tau_true_close,tau_obs_close,qty_committed,shortfall,stockout,fill_rate_realized,rho_dn,rho_dn_deliverable,below_true_batna,below_static_tau,pareto_efficient,chain_impasse,avoidable_impasse,net_value,reward
Surplus,no-shock,0,0,900000,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,4,True,0.6404,0.7132,0.7132,0.7132,True,0.4,0.4,100,0,False,1.0,0.5893,0.5893,False,False,True,False,False,0.6513,0.6513
Static-tau,no-shock,0,1,900000,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,4,True,0.635,0.7132,0.7132,0.7132,True,0.4,0.4,100,0,False,1.0,0.7535,0.7535,False,False,True,False,False,0.7334,0.7334
Dyn-BATNA,no-shock,0,2,900000,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,4,True,0.6291,0.7132,0.7132,0.7132,True,0.4,0.4,100,0,False,1.0,0.5893,0.5893,False,False,True,False,False,0.6513,0.6513
Dyn-tau-nohedge,no-shock,0,3,900000,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,4,True,0.6296,0.7132,0.7132,0.7132,True,0.4,0.4,100,0,False,1.0,0.7535,0.7535,False,False,True,False,False,0.7334,0.7334
Surplus,no-shock,1,4,900001,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.6404,0.73,0.73,0.73,True,0.4,0.4,20,0,False,1.0,0.0187,0.0187,True,True,False,False,False,0.3743,0.3743
Static-tau,no-shock,1,5,900001,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.635,0.7371,0.7371,0.7371,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.5685,0.3685
Dyn-BATNA,no-shock,1,6,900001,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.6291,0.7548,0.7548,0.7548,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.5774,0.3774
Dyn-tau-nohedge,no-shock,1,7,900001,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.6296,0.7539,0.7539,0.7539,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.577,0.377
Surplus,no-shock,2,8,900002,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,0,True,0.6404,0.7505,0.7505,0.7505,True,0.4,0.4,20,0,False,1.0,0.5778,0.5778,False,False,False,False,False,0.6641,0.6641
Static-tau,no-shock,2,9,900002,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,0,True,0.635,0.7578,0.7578,0.7578,True,0.4,0.4,120,0,False,1.0,0.9292,0.9292,False,False,False,False,False,0.8435,0.8435
Dyn-BATNA,no-shock,2,10,900002,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,0,True,0.6291,0.776,0.776,0.776,True,0.4,0.4,20,0,False,1.0,0.5778,0.5778,False,False,False,False,False,0.6769,0.6769
Dyn-tau-nohedge,no-shock,2,11,900002,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,0,True,0.6296,0.7751,0.7751,0.7751,True,0.4,0.4,120,0,False,1.0,0.9292,0.9292,False,False,False,False,False,0.8522,0.8522
Surplus,no-shock,3,12,900003,False,competitive,0.0,-1,none,Shenzhen,Los Angeles,0,5,True,0.6404,0.681,0.681,0.681,True,0.4,0.4,20,0,False,1.0,0.0544,0.0544,True,True,False,False,False,0.3677,0.3677
Static-tau,no-shock,3,13,900003,False,competitive,0.0,-1,none,Shenzhen,Los Angeles,0,5,True,0.635,0.681,0.681,0.681,True,0.4,0.4,100,0,False,1.0,0.4456,0.4456,False,False,True,False,False,0.5633,0.5633
