agent,kappa_true,net_value,avoidable_impasse,below_true_batna,stockout
Dyn-BATNA,0.0,0.543,0.035,0.705,0.08
Dyn-tau-nohedge,0.0,0.4966,0.035,0.585,0.63
Static-tau,0.0,0.4997,0.265,0.0,0.55
Surplus,0.0,0.4391,0.14,0.595,0.29
Dyn-BATNA,0.2,0.5401,0.045,0.58,0.08
Dyn-tau-nohedge,0.2,0.4948,0.035,0.465,0.63
Static-tau,0.2,0.4841,0.275,0.0,0.55
Surplus,0.2,0.4307,0.14,0.56,0.29
Dyn-BATNA,0.4,0.5373,0.045,0.28,0.08
Dyn-tau-nohedge,0.4,0.493,0.035,0.23,0.63
Static-tau,0.4,0.4686,0.29,0.0,0.55
Surplus,0.4,0.4223,0.145,0.51,0.29
Dyn-BATNA,0.6,0.5349,0.045,0.035,0.08
Dyn-tau-nohedge,0.6,0.4915,0.035,0.02,0.63
Static-tau,0.6,0.4558,0.29,0.0,0.55
Surplus,0.6,0.4157,0.145,0.42,0.29
Dyn-BATNA,0.8,0.5339,0.045,0.0,0.08
Dyn-tau-nohedge,0.8,0.4909,0.035,0.0,0.63
Static-tau,0.8,0.4502,0.29,0.0,0.55
Surplus,0.8,0.4136,0.145,0.305,0.29
Dyn-BATNA,1.0,0.5333,0.045,0.0,0.08
Dyn-tau-nohedge,1.0,0.4905,0.035,0.0,0.63
Static-tau,1.0,0.4486,0.29,0.0,0.55
Surplus,1.0,0.413,0.145,0.245,0.29
