agent,condition,replication,rho_dn,rho_dn_deliverable,dn_deal,chain_impasse,avoidable_impasse,below_true_batna,below_static_tau,stockout,shortfall,pareto_efficient,rho_up,up_deal,first_bid_ratio,net_value,reward
Dyn-BATNA,no-shock,0,0.5448,0.5448,0.94,0.06,0.04,0.0,0.0,0.0,0.0,0.6595744680851063,0.7507,1.0,0.6291,0.6434,0.6314
Dyn-BATNA,shock,0,0.3337,0.3555,0.88,0.12,0.08,0.02,0.6,0.12,0.54,0.5454545454545454,0.8578,0.88,0.6291,0.526,0.516
Dyn-tau-nohedge,no-shock,0,0.5815,0.5815,0.96,0.04,0.02,0.0,0.0,0.0,0.0,0.6875,0.7503,1.0,0.6296,0.6623,0.6543
Dyn-tau-nohedge,shock,0,0.4652,0.5032,0.88,0.12,0.08,0.02,0.4,0.62,11.18,0.09090909090909091,0.8577,0.88,0.6296,0.49,0.48
Static-tau,no-shock,0,0.6034,0.6034,0.96,0.04,0.02,0.0,0.0,0.0,0.0,0.7291666666666666,0.7413,1.0,0.635,0.6683,0.6603
Static-tau,shock,0,0.613,0.6565,0.7,0.3,0.26,0.0,0.0,0.58,8.64,0.14285714285714285,0.8853,0.68,0.635,0.4527,0.3264
Surplus,no-shock,0,0.3682,0.3682,1.0,0.0,0.0,0.54,0.54,0.0,0.0,0.34,0.7373,1.0,0.6404,0.5528,0.5528
Surplus,shock,0,0.3203,0.3447,0.84,0.16,0.12,0.38,0.5,0.2,2.88,0.21428571428571427,0.8818,0.7,0.6404,0.4257,0.248
Dyn-BATNA,no-shock,1,0.5676,0.5676,0.92,0.08,0.06,0.0,0.0,0.0,0.0,0.5869565217391305,0.7561,0.98,0.6291,0.6476,0.6316
Dyn-BATNA,shock,1,0.3077,0.335,0.92,0.08,0.08,0.04,0.66,0.08,0.34,0.6086956521739131,0.8558,0.92,0.6291,0.5379,0.5301
Dyn-tau-nohedge,no-shock,1,0.596,0.596,0.94,0.06,0.04,0.0,0.0,0.0,0.0,0.6382978723404256,0.7557,0.98,0.6296,0.6624,0.6504
Dyn-tau-nohedge,shock,1,0.4715,0.5156,0.92,0.08,0.08,0.02,0.42,0.66,11.38,0.06521739130434782,0.8556,0.92,0.6296,0.518,0.5103
Static-tau,no-shock,1,0.5974,0.5974,0.94,0.06,0.04,0.0,0.0,0.0,0.0,0.6382978723404256,0.7482,0.98,0.635,0.6594,0.6474
Static-tau,shock,1,0.6054,0.6527,0.72,0.28,0.28,0.0,0.0,0.62,10.06,0.05555555555555555,0.8905,0.76,0.635,0.4828,0.3399
Surplus,no-shock,1,0.3647,0.3647,1.0,0.0,0.0,0.56,0.56,0.0,0.0,0.28,0.7439,1.0,0.6404,0.5543,0.5543
Surplus,shock,1,0.313,0.3401,0.9,0.1,0.1,0.48,0.6,0.32,5.12,0.17777777777777778,0.8864,0.78,0.6404,0.4454,0.2643
Dyn-BATNA,no-shock,2,0.5376,0.5376,0.84,0.16,0.1,0.0,0.0,0.0,0.0,0.6428571428571429,0.7417,0.96,0.6291,0.6138,0.5818
Dyn-BATNA,shock,2,0.301,0.3211,0.9,0.1,0.1,0.08,0.74,0.06,0.62,0.6444444444444445,0.8291,0.88,0.6291,0.503,0.4935
Dyn-tau-nohedge,no-shock,2,0.5677,0.5677,0.86,0.14,0.08,0.0,0.0,0.0,0.0,0.7209302325581395,0.7414,0.96,0.6296,0.628,0.6
Dyn-tau-nohedge,shock,2,0.4126,0.441,0.92,0.08,0.08,0.02,0.58,0.62,8.62,0.15217391304347827,0.8289,0.88,0.6296,0.4845,0.4772
Static-tau,no-shock,2,0.5744,0.5744,0.86,0.14,0.08,0.0,0.0,0.0,0.0,0.7209302325581395,0.735,0.96,0.635,0.6278,0.5998
Static-tau,shock,2,0.5592,0.5973,0.66,0.34,0.34,0.0,0.0,0.52,6.74,0.12121212121212122,0.8897,0.7,0.635,0.4617,0.3227
Surplus,no-shock,2,0.3174,0.3174,0.96,0.04,0.04,0.64,0.64,0.0,0.0,0.3541666666666667,0.732,0.96,0.6404,0.5117,0.5037
Surplus,shock,2,0.2383,0.2575,0.82,0.18,0.18,0.48,0.64,0.26,2.5,0.17073170731707318,0.889,0.7,0.6404,0.4018,0.2356
Dyn-BATNA,no-shock,3,0.5617,0.5617,0.9,0.1,0.06,0.0,0.0,0.0,0.0,0.5111111111111111,0.7311,1.0,0.6291,0.6383,0.6183
Dyn-BATNA,shock,3,0.2824,0.309,0.96,0.04,0.02,0.04,0.74,0.14,0.88,0.5625,0.8528,0.96,0.6291,0.5374,0.534
Dyn-tau-nohedge,no-shock,3,0.5972,0.5972,0.92,0.08,0.04,0.0,0.0,0.0,0.0,0.5434782608695652,0.7307,1.0,0.6296,0.6561,0.6401
Dyn-tau-nohedge,shock,3,0.4177,0.4636,0.98,0.02,0.02,0.06,0.6,0.7,14.28,0.12244897959183673,0.8526,0.96,0.6296,0.4876,0.4854
Static-tau,no-shock,3,0.6124,0.6124,0.92,0.08,0.04,0.0,0.0,0.0,0.0,0.5869565217391305,0.7223,1.0,0.635,0.6589,0.6429
Static-tau,shock,3,0.5393,0.595,0.7,0.3,0.28,0.0,0.0,0.52,8.88,0.14285714285714285,0.9007,0.7,0.635,0.4366,0.3145
Surplus,no-shock,3,0.4153,0.4153,1.0,0.0,0.0,0.48,0.48,0.0,0.0,0.44,0.7189,1.0,0.6404,0.5671,0.5671
Surplus,shock,3,0.2816,0.3091,0.88,0.12,0.12,0.42,0.64,0.28,4.26,0.3409090909090909,0.9005,0.7,0.6404,0.4049,0.2496
Dyn-BATNA,no-shock,4,0.5043,0.5043,0.92,0.08,0.08,0.0,0.0,0.0,0.0,0.5,0.7617,1.0,0.6291,0.6288,0.6128
Dyn-BATNA,shock,4,0.3156,0.3437,0.94,0.06,0.06,0.04,0.64,0.04,0.08,0.48936170212765956,0.8621,0.88,0.6291,0.5318,0.5282
Dyn-tau-nohedge,no-shock,4,0.5376,0.5376,0.94,0.06,0.06,0.0,0.0,0.0,0.0,0.6382978723404256,0.7613,1.0,0.6296,0.6453,0.6333
Dyn-tau-nohedge,shock,4,0.3865,0.4203,0.96,0.04,0.04,0.04,0.58,0.54,7.44,0.14583333333333334,0.8619,0.88,0.6296,0.5013,0.5001
Static-tau,no-shock,4,0.5735,0.5735,0.94,0.06,0.06,0.0,0.0,0.0,0.0,0.6595744680851063,0.752,1.0,0.635,0.6575,0.6455
Static-tau,shock,4,0.535,0.591,0.7,0.3,0.3,0.0,0.0,0.52,6.94,0.2,0.8987,0.66,0.635,0.4417,0.3169
Surplus,no-shock,4,0.311,0.311,1.0,0.0,0.0,0.64,0.64,0.0,0.0,0.26,0.7479,1.0,0.6404,0.5295,0.5295
Surplus,shock,4,0.292,0.3237,0.88,0.12,0.12,0.48,0.6,0.2,2.8,0.25,0.8984,0.7,0.6404,0.4248,0.264
Dyn-BATNA,no-shock,5,0.5421,0.5421,0.88,0.12,0.12,0.0,0.0,0.0,0.0,0.5681818181818182,0.7364,0.98,0.6291,0.6234,0.5994
Dyn-BATNA,shock,5,0.2979,0.3227,0.92,0.08,0.06,0.04,0.74,0.06,0.3,0.5652173913043478,0.8483,0.9,0.6291,0.5198,0.515
Dyn-tau-nohedge,no-shock,5,0.5622,0.5622,0.9,0.1,0.1,0.0,0.0,0.0,0.0,0.6222222222222222,0.7359,0.98,0.6296,0.6336,0.6136
Dyn-tau-nohedge,shock,5,0.4114,0.4455,0.94,0.06,0.06,0.04,0.58,0.68,11.32,0.14893617021276595,0.8482,0.9,0.6296,0.4766,0.4724
Static-tau,no-shock,5,0.5718,0.5718,0.92,0.08,0.08,0.0,0.0,0.0,0.0,0.6304347826086957,0.7244,1.0,0.635,0.6412,0.6252
Static-tau,shock,5,0.5641,0.6071,0.7,0.3,0.3,0.0,0.0,0.56,10.48,0.08571428571428572,0.901,0.74,0.635,0.4558,0.3246
Surplus,no-shock,5,0.371,0.371,1.0,0.0,0.0,0.62,0.62,0.0,0.0,0.48,0.7202,1.0,0.6404,0.5456,0.5456
Surplus,shock,5,0.3643,0.3971,0.82,0.18,0.18,0.34,0.52,0.42,7.02,0.1951219512195122,0.9003,0.76,0.6404,0.4376,0.2792
Dyn-BATNA,no-shock,6,0.5697,0.5697,0.92,0.08,0.08,0.0,0.0,0.0,0.0,0.6086956521739131,0.7206,0.96,0.6291,0.624,0.608
Dyn-BATNA,shock,6,0.3369,0.3714,0.9,0.1,0.06,0.08,0.6,0.1,0.36,0.5777777777777777,0.8384,0.86,0.6291,0.5162,0.5065
Dyn-tau-nohedge,no-shock,6,0.5998,0.5998,0.92,0.08,0.08,0.0,0.0,0.0,0.0,0.6521739130434783,0.7201,0.96,0.6296,0.6376,0.6216
