agent,cem_seed,iteration,val_reward,val_net_value,a_u,beta_u,a_d,beta_d
Surplus,0,0,0.3481,0.4502,0.65,2.1,0.7,2.1
Surplus,0,1,0.3632,0.4637,0.6778,2.635,0.7498,2.5927
Surplus,0,2,0.3744,0.469,0.6283,2.5221,0.7828,3.248
Surplus,0,3,0.3894,0.4777,0.6225,2.9995,0.8553,3.5207
Surplus,0,4,0.3899,0.478,0.621,3.3034,0.8585,3.5617
Surplus,0,5,0.3931,0.4813,0.6298,3.3074,0.8831,3.6609
Surplus,0,6,0.3981,0.4855,0.643,3.5032,0.9332,3.5813
Surplus,0,7,0.3985,0.4859,0.6387,3.4926,0.9675,3.7146
Surplus,0,8,0.4002,0.4875,0.6443,3.5466,0.9518,3.6683
Surplus,0,9,0.4,0.4892,0.6535,3.5719,0.9325,3.7893
Surplus,0,10,0.4029,0.4901,0.6343,3.7321,0.9569,3.8683
Surplus,0,11,0.4083,0.4946,0.6288,3.7856,0.9775,3.9131
Surplus,0,12,0.4033,0.488,0.6156,3.9381,0.9628,3.7995
Surplus,0,13,0.407,0.4942,0.6294,3.9125,0.9629,3.7747
Surplus,0,14,0.4022,0.4913,0.6546,3.9394,0.9604,3.8714
Surplus,0,15,0.4054,0.4926,0.6404,3.9709,0.9604,3.8757
Surplus,1,0,0.3369,0.4445,0.65,2.1,0.7,2.1
Surplus,1,1,0.3489,0.4562,0.6654,2.3069,0.7124,2.5949
Surplus,1,2,0.3597,0.4583,0.6294,2.5456,0.7625,3.0446
Surplus,1,3,0.3738,0.4666,0.6324,2.6761,0.8334,3.4643
Surplus,1,4,0.3772,0.4698,0.6406,2.9003,0.8663,3.5188
Surplus,1,5,0.3715,0.4693,0.6704,2.6621,0.9063,3.5688
Surplus,1,6,0.379,0.4759,0.6643,2.6845,0.9691,3.5214
Surplus,1,7,0.376,0.4735,0.6969,2.6933,0.9764,3.6963
Surplus,1,8,0.379,0.476,0.6677,2.6837,0.9702,3.826
Surplus,1,9,0.3807,0.4762,0.6527,2.8435,0.9774,3.9272
Surplus,1,10,0.3855,0.4783,0.6437,2.9066,0.9836,3.8381
Surplus,1,11,0.3859,0.4757,0.6362,3.1437,0.9838,3.7306
Surplus,1,12,0.3818,0.4783,0.6805,3.1984,0.9545,3.7202
Surplus,1,13,0.3923,0.4808,0.6291,3.3694,0.9482,3.761
Surplus,1,14,0.3848,0.4812,0.6686,3.2066,0.9594,3.9086
Surplus,1,15,0.3908,0.4807,0.6427,3.504,0.9489,3.8923
Surplus,2,0,0.3387,0.4516,0.65,2.1,0.7,2.1
Surplus,2,1,0.3626,0.4702,0.6529,2.6999,0.7588,2.8624
Surplus,2,2,0.3689,0.4758,0.6707,3.3322,0.753,3.0787
Surplus,2,3,0.3761,0.4776,0.6415,3.4219,0.829,3.2574
Surplus,2,4,0.3837,0.4857,0.6492,3.7026,0.8894,3.2713
Surplus,2,5,0.3892,0.4798,0.6147,3.6916,0.9304,3.738
Surplus,2,6,0.3908,0.4848,0.6262,3.9414,0.9168,3.6989
Surplus,2,7,0.3861,0.4881,0.6547,3.9315,0.9082,3.6424
Surplus,2,8,0.3926,0.494,0.6625,3.8059,0.9499,3.777
Surplus,2,9,0.3926,0.4941,0.6657,3.7346,0.936,3.7292
Surplus,2,10,0.3901,0.4841,0.6227,3.8223,0.921,3.7409
Surplus,2,11,0.3917,0.4837,0.6204,3.9547,0.9185,3.6585
Surplus,2,12,0.388,0.485,0.6425,3.9595,0.9509,3.4893
Surplus,2,13,0.3934,0.4947,0.6589,3.9668,0.9574,3.6285
Surplus,2,14,0.3895,0.4916,0.6784,3.8682,0.9401,3.4866
Surplus,2,15,0.3885,0.4916,0.666,3.9025,0.9347,3.4905
Static-tau,0,0,0.4376,0.5281,0.65,2.1,0.7,2.1
Static-tau,0,1,0.4505,0.5402,0.6533,2.4671,0.7498,2.587
Static-tau,0,2,0.4594,0.5443,0.6294,2.8598,0.7571,2.3095
Static-tau,0,3,0.4677,0.5504,0.6118,3.5377,0.8073,2.8044
Static-tau,0,4,0.4711,0.5538,0.6125,3.7392,0.8286,2.7594
Static-tau,0,5,0.4813,0.5648,0.6265,3.8286,0.8051,3.0315
Static-tau,0,6,0.481,0.5629,0.642,3.9002,0.8752,2.9202
Static-tau,0,7,0.4763,0.5574,0.6199,3.9075,0.837,2.8368
Static-tau,0,8,0.4791,0.5626,0.6417,3.9349,0.7975,3.0862
Static-tau,0,9,0.4808,0.5643,0.6375,3.9365,0.8346,3.0222
Static-tau,0,10,0.4818,0.5637,0.6395,3.8991,0.9025,3.0406
Static-tau,0,11,0.4856,0.5634,0.6338,3.949,0.9464,3.1154
Static-tau,0,12,0.4839,0.5618,0.639,3.9494,0.9471,2.9567
Static-tau,0,13,0.4843,0.5621,0.6213,3.8916,0.9453,3.0561
Static-tau,0,14,0.4849,0.5622,0.6404,3.9425,0.9467,3.4441
Static-tau,0,15,0.4862,0.5635,0.635,3.9364,0.9376,3.453
Static-tau,1,0,0.4289,0.5169,0.65,2.1,0.7,2.1
Static-tau,1,1,0.4416,0.5287,0.6542,2.6142,0.7238,2.0284
Static-tau,1,2,0.4461,0.5282,0.6103,3.0749,0.7379,2.0536
Static-tau,1,3,0.4548,0.5343,0.6225,3.3262,0.8039,3.026
Static-tau,1,4,0.4583,0.5377,0.6379,3.5476,0.8273,2.7135
Static-tau,1,5,0.4639,0.5493,0.6743,3.6498,0.8597,3.0053
Static-tau,1,6,0.4687,0.5531,0.6604,3.7249,0.9027,3.03
Static-tau,1,7,0.4672,0.5489,0.6435,3.8466,0.8698,3.259
Static-tau,1,8,0.4672,0.544,0.6321,3.7935,0.8903,3.32
Static-tau,1,9,0.4675,0.5467,0.6491,3.8143,0.9071,3.3554
Static-tau,1,10,0.4687,0.5478,0.646,3.9022,0.8969,3.6004
Static-tau,1,11,0.4697,0.5483,0.6456,3.9241,0.9183,3.7849
Static-tau,1,12,0.4688,0.548,0.6484,3.8841,0.8719,3.74
Static-tau,1,13,0.4708,0.5476,0.6256,3.91,0.8771,3.8084
Static-tau,1,14,0.4704,0.5461,0.6227,3.9205,0.9204,3.7828
Static-tau,1,15,0.4689,0.5452,0.6249,3.9173,0.9249,3.3853
Static-tau,2,0,0.4292,0.5221,0.65,2.1,0.7,2.1
Static-tau,2,1,0.4432,0.5282,0.6067,2.8608,0.6332,2.4385
Static-tau,2,2,0.4439,0.5365,0.6689,3.1036,0.6411,2.4791
Static-tau,2,3,0.4574,0.5478,0.658,3.3333,0.7314,2.6726
Static-tau,2,4,0.4642,0.5538,0.6523,3.7661,0.8229,2.9733
Static-tau,2,5,0.4671,0.5514,0.6344,3.8225,0.833,3.4731
Static-tau,2,6,0.4694,0.5533,0.6216,3.9934,0.8029,3.4584
Static-tau,2,7,0.4677,0.5572,0.6535,3.9811,0.7935,3.484
Static-tau,2,8,0.4695,0.5561,0.6441,3.9592,0.8175,3.5737
Static-tau,2,9,0.4672,0.5515,0.6419,3.957,0.8192,3.5241
Static-tau,2,10,0.4691,0.553,0.622,3.9739,0.8046,3.5114
Static-tau,2,11,0.4695,0.5523,0.6298,3.9869,0.8488,3.7229
Static-tau,2,12,0.4691,0.5542,0.6472,3.946,0.8661,3.6858
Static-tau,2,13,0.4693,0.5521,0.6339,3.9614,0.8587,3.6687
Static-tau,2,14,0.4704,0.5582,0.6624,3.9058,0.892,3.7071
Static-tau,2,15,0.468,0.5508,0.6354,3.9188,0.8993,3.7034
Dyn-BATNA,0,0,0.5233,0.5368,0.65,2.1,0.7,2.1
Dyn-BATNA,0,1,0.5295,0.5429,0.685,2.4563,0.7503,2.18
Dyn-BATNA,0,2,0.5548,0.5703,0.6095,3.269,0.7447,1.708
Dyn-BATNA,0,3,0.5665,0.5821,0.617,3.7796,0.7804,1.9855
Dyn-BATNA,0,4,0.5734,0.5874,0.6322,3.9535,0.7774,1.9706
Dyn-BATNA,0,5,0.5688,0.5828,0.6455,3.9505,0.8076,2.0814
Dyn-BATNA,0,6,0.5812,0.5943,0.6534,3.9079,0.8225,2.2208
Dyn-BATNA,0,7,0.5824,0.5956,0.6649,3.8871,0.8557,2.5516
Dyn-BATNA,0,8,0.5711,0.5851,0.6443,3.8691,0.851,2.5171
Dyn-BATNA,0,9,0.5779,0.5911,0.659,3.8636,0.7902,2.3931
Dyn-BATNA,0,10,0.5724,0.5865,0.6365,3.9322,0.7627,2.4443
Dyn-BATNA,0,11,0.5742,0.5883,0.6363,3.9079,0.8044,2.441
Dyn-BATNA,0,12,0.5724,0.5865,0.6435,3.9542,0.8174,2.5962
Dyn-BATNA,0,13,0.5739,0.588,0.6228,3.9585,0.7564,2.5355
Dyn-BATNA,0,14,0.572,0.586,0.6465,3.9644,0.815,2.7539
Dyn-BATNA,0,15,0.5779,0.592,0.6291,3.987,0.7851,2.7428
Dyn-BATNA,1,0,0.5136,0.5254,0.65,2.1,0.7,2.1
Dyn-BATNA,1,1,0.5254,0.537,0.6907,2.7519,0.7084,2.2133
Dyn-BATNA,1,2,0.5535,0.5647,0.6487,3.0205,0.7698,2.6946
Dyn-BATNA,1,3,0.5673,0.5783,0.666,3.5132,0.7845,3.212
Dyn-BATNA,1,4,0.5657,0.5767,0.6791,3.7766,0.7891,2.8751
